"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lrp8os2",0,NA,NA,NA,NA,NA
"Lrp8",0,NA,NA,NA,NA,NA
"Lrp8os3",0,NA,NA,NA,NA,NA
"4933424M12Rik",0,NA,NA,NA,NA,NA
"Gm12907",0,NA,NA,NA,NA,NA
"Gm12906",0,NA,NA,NA,NA,NA
"LOC115486425",0,NA,NA,NA,NA,NA
"1700047F07Rik",0,NA,NA,NA,NA,NA
"Gm12899",0,NA,NA,NA,NA,NA
"Dmrtb1",0,NA,NA,NA,NA,NA
"Gm52673",0,NA,NA,NA,NA,NA
"4930552P06Rik",0,NA,NA,NA,NA,NA
"Glis1",0,NA,NA,NA,NA,NA
"Ndc1",0.142229865807183,1.03925381775987,4.0804728567969,0.254689555409925,0.798962883861082,0.977178756916937
"Gm12870",0,NA,NA,NA,NA,NA
"Yipf1",0.192269047223276,1.03925381775987,4.0804728567969,0.254689555409925,0.798962883861082,0.977178756916937
"Dio1",0,NA,NA,NA,NA,NA
"Hspb11",3.70459770007616,-5.34482658673907,3.59202633406438,-1.48796976682835,0.136758866935525,0.977178756916937
"Lrrc42",0,NA,NA,NA,NA,NA
"Ldlrad1",0,NA,NA,NA,NA,NA
"Tmem59",0,NA,NA,NA,NA,NA
"Tceanc2",0,NA,NA,NA,NA,NA
"Cdcp2",0,NA,NA,NA,NA,NA
"Cyb5rl",0,NA,NA,NA,NA,NA
"Mrpl37",0,NA,NA,NA,NA,NA
"Ssbp3",0,NA,NA,NA,NA,NA
"Gm52672",0,NA,NA,NA,NA,NA
"Gm31125",0,NA,NA,NA,NA,NA
"Gm31065",0,NA,NA,NA,NA,NA
"Acot11",0,NA,NA,NA,NA,NA
"Fam151a",0,NA,NA,NA,NA,NA
"Mroh7",0,NA,NA,NA,NA,NA
"Ttc4",0,NA,NA,NA,NA,NA
"Pars2",0,NA,NA,NA,NA,NA
"Ttc22",0,NA,NA,NA,NA,NA
"Lexm",0,NA,NA,NA,NA,NA
"Dhcr24",0,NA,NA,NA,NA,NA
"2700068H02Rik",0,NA,NA,NA,NA,NA
"LOC118568682",0,NA,NA,NA,NA,NA
"Tmem61",0,NA,NA,NA,NA,NA
"Bsnd",0,NA,NA,NA,NA,NA
"Gm30487",0,NA,NA,NA,NA,NA
"Pcsk9",0,NA,NA,NA,NA,NA
"Gm40218",0,NA,NA,NA,NA,NA
"Usp24",0,NA,NA,NA,NA,NA
"Gm12724",0,NA,NA,NA,NA,NA
"LOC118568681",0,NA,NA,NA,NA,NA
"Hspd1-ps4",0,NA,NA,NA,NA,NA
"Gm30126",0,NA,NA,NA,NA,NA
"Gm26047",0,NA,NA,NA,NA,NA
"Gm12727",0,NA,NA,NA,NA,NA
"Gm30199",0,NA,NA,NA,NA,NA
"Gm30266",0,NA,NA,NA,NA,NA
"LOC118568680",0,NA,NA,NA,NA,NA
"Gm29922",0,NA,NA,NA,NA,NA
"Gm12728",0,NA,NA,NA,NA,NA
"Gm12726",0,NA,NA,NA,NA,NA
"Gm12722",0,NA,NA,NA,NA,NA
"Gm40217",0.351245821215191,-1.92441329388381,4.02693843514759,-0.477884955252186,0.632732089996162,0.977178756916937
"LOC118568679",0,NA,NA,NA,NA,NA
"Plpp3",0,NA,NA,NA,NA,NA
"Gm29838",0,NA,NA,NA,NA,NA
"Gm36893",0,NA,NA,NA,NA,NA
"Prkaa2",0,NA,NA,NA,NA,NA
"Gm52670",0,NA,NA,NA,NA,NA
"Gm12721",0,NA,NA,NA,NA,NA
"Gm40216",0,NA,NA,NA,NA,NA
"Fyb2",0.142229865807183,1.03925381775987,4.0804728567969,0.254689555409925,0.798962883861082,0.977178756916937
